Amendment No,#Pages,Sponsor,Affected Sections,What Does it Do?,Good/Bad/Questions/Vague/NA,Comments
1,,Liz Walsh,,"Makes several targeted changed in Elkridge by removed the proposed ""Mixed use Activity Center"" and ""Industrial Mixed Use Activity Center"" and other proposals 'geared toward increased safety.",Good,
2,,Christiana Rigby,,"Integrate projects and regulations with climate change goals in mixed use activity centers, enhance opportunities for preservation while reducing emissions.",Vague,
3,,Christiana Rigby,,Provides for requiring an exploration for future reuse of a quarry that ceases operation,Questions,Is this about the Jessup Quarry?
4,,Christiana Rigby,,Pushing for additional housing in Gateway with a vauge statment about schools and other infrastructure.,Bad,"qualifies need to maintain rural character so that is only paramount ""if housing options are expanded"""
5,2,David Yungmann,Chapter 6: Dynamic Neighborhoods: 56.,"Dynamic Neighborhoods to remove language about specific housing types in the Rural Crossroads and substituting general
language about maintaining the rural character of the West if housing options are expanded",,"Incudes: ""Implement a required minimum allocation of units for seniors and people with a disability in any development receiving an APFO waiver or a Payment in Lieu of Taxes, or other form of local funding."""
6,3,David Yungmann,Chapter 6: Dynamic Neighborhoods: 51; and  Chapter 11: Implementation: 39;,"Amends the DN-5 Policy Statement Implementing Actions to
implement a required minimum allocation of units reserved
for seniors and people with disabilities for a development
receiving local funding.)",Questions,"Howard County allows developers to reduce their low income housing and MIHU obligations by substituting with DIHU. Does this continue under the new plan?Deletes proposal to use ALPP funding "" to enhance the County’s efforts to improve ecological health, as discussed earlier in this chapter"""
7,2,David Yungmann,Chapter 3: Ecological Health: 53.,"Ecological Health to remove a reference
to using the ALPP to enhance the County’s ecological health efforts and remove a reference to
changing State law to allow non-agricultural uses of the ALPP fund.)",Questions,Is an embellishment/continuation of changes in Amendment 7
8,3,David Yungmann,Chapter 4: Ecological Health: 54; • Chapter 11: Implementation: 21.,"Amends the EH-10 Policy Statement to expand the potential
uses of the ALPP Fund to support traditional agriculture
and expand agribusiness opportunities and the Implementing
Actions to identify areas in which the ALPP can be effective
in supporting the health of agricultural land.",Good (??),Targest the policy and implementing action.
9,,Christiana Rigby,,"Policy and Implementing Action to pursue State-enabling
legislation to allow well-signed, stationary speed cameras and
other road safety mechanisms in school walk zones.)",Good ,
10,1,County Executiv,"Adds section 3 to the bill, to require that DPZ update maps after passed","the Director of the Department of Planning and Zoning shall amend text, maps, charts, graphs, and tables in accordance with amendments to this Act",Questions,Are the amendments made in other county documents or the general plan itself?
11,,Christiana Rigby,,Incentivize arts and craftsmanship in Savage,Good,"Changes ""agritourism"" has grown to ""demand for agritourism"""
12,2,David Yungmann,Chapter 5: Economic Prosperity: 53.,"Amends the fifth paragraph of the subsection titled
“Farming by Industry” in the section titled “Sustaining our
Agricultural Economy” by inserting “for farmers and
exposes the public to agriculture” after the phrase
“Agrotourism enhances income potential”.",NA,Removes the reference to energy efficient technologies in the subsection titled “Building Types and Materials” in the section titled “Character Area: Rural Crossroads”.
13,2,David Yungmann,Technical Appendix B: 25.,"Removes the reference to energy efficient technologies in
the subsection titled “Building Types and Materials” in the
section titled “Character Area: Rural Crossroads”.",NA,
14,,Christiana Rigby,,Preserve the county's existing affordable housign inventory stock and incentivize LIHU and DIHU housing units.,Questions,"Establishes a new policy statement of ""Promote home ownership"""
15,3,David Yungmann,Chapter 6: Dynamic Neighborhoods: 40; and  Chapter 11: Implementation: 37 and 38;,"promote home
ownership and creates associated Implementing Actions to
build on existing programs that are geared toward helping
buyers become homeowners, develop methods that
encourage ownership over renting, and expand public
awareness of various programs to assist home buyers.)",Good,
16,,Christiana Rigby,,"Reduce barriers to hiring and retention of workforce thru rental subsity programs, create workforce housing, connect county jobs with new or exising transit network, access to equitable and affordable health care, expand on the job training.",NA,
17,,Liz Walsh,,Expand the two existing locally designated historic districts and consider expanding theri boundaries.,Good,
18,,Liz Walsh,,"Policy Statement to embrace
commercial revitalization along the Route 40 Corridor and
creates associated Implementing Actions to support the
establishment of a business district association specific to
Route 40, update the Route 40 Design Manual, develop
design guidelines defining the desired character of the
Korean Way, and leverage partnerships to prioritize and
implement multi-modal improvements along the Route 40
Corridor.)",Good,"Deletes: ""However, there are opportunities for additional housing in the Rural West that may achieve affordable housing goals, as outlined in this Plan, such as missing middle housing, detached accessory dwelling units, and rural crossroads development. Additionally, in the policy below, piecemeal PSA expansions can be considered for low- and moderate-income housing, such as missing middle or older adult housing."""
19,2,David Yungmann,"Chapter 2, Growth and Conservation Framework:18.","Removes the reference to opportunities for additional
housing in the Rural West and the consideration of
piecemeal PSA expansions for low- and moderate-income
housing in the subsection titled “Planned Service Areas and
Tiers” in the section titled “Strategy for Growth and
Conservation”.) ",Questions,"This seems like typical Yungmann amendment that pushes for development anywhere but the West.Includes ""while maintaining rural character."" as a priority in determining locations for additional housing."
20,3,David Yungmann,Chapter 6: Dynamic Neighborhoods: 57;  Chapter 11: Implementation: 41.,"Amends Policy and Implementing Action 3 in DN-8 of Table 10-
1: Implementation Matrix by modifying the policy and action to
determine if there are certain strategic locations in the Rural
West where it is feasible to accommodate increased housing
development by adding “while maintaining rural character.)",Good,Update of names and positions of various county employees
21,2,County Executiv,Page III,Page Correction,NA,This Amendment makes a technical correction to update the numbers related to community engagement and removes an outdated paragraph related to community engagement.)
22,2,County Executiv,"Chapter 1, Introduction – page 18",Makes a technical correction in the intro regarding certain public process stats,NA,technical correction
23,2,County Executiv,"Chapter 2, Growth and Conservation Framework – page 10","Makes technical correction to insert the date that the Market Research and
Demand Forecast was published.",NA,
24,2,County Executiv,Remove the graphic on page 11 and remove page 12 and substitute revised pages 11 and 12 as attached to this Amendment.,Adds certain table summaries.,Bad,Extremely misleading data.
25,3,County Executiv,"Insert pages 28A, 28B, 28C and 28D, as attached to this Amendment, immediately after page 28.",Adds certain maps,NA,
26,2,County Executiv,"Chapter 2, Growth and Conservation Framework – pages 39 and 40","Adds a note to the Future Land Use Map that the Map does not dictate zoning
district boundaries but will be a guiding factor in the Comprehensive Rezoning and Map
Amendment processes",Questions,"replace ""policies"" with ""regulations and policies"""
27,3,County Executiv,"Chapter 3, Ecological Health – page 7 • Chapter 11, Implementation – page 15","Makes a technical correction to clarify that the County will update County
regulations in addition to programs and policies when addressing ecological health",Questions,Will there be a public hearing before these updates are made?
28,,County Executiv,,"Adds an Implementation Action to support sensitive environmental resources
by exploring the creation of site-sensitive and enhanced site design outcomes during the zoning
regulation update process.",Questions,"The problem with this proposal is it is mid-term. The county is not even implementing its current standards.rather than outlining goals of climate resiliency, refers to the  Howard County Climate Action and Resiliency Plan"
29,3,County Executiv,"Chapter 3, Ecological Health – page 15 • Chapter 11, Implementation – page 16
","Adds reference to the County’s Climate Action and Resiliency Plan, or the most recently adopted Plan",Vague,Performative
30,,County Executiv,,Amends an implementing action to provide that the Green Neighborhood program will be used to advance other General Plan polices and will result in more innovative demonstration projects for future green development,Vague,Performative.
31,,County Executiv,,Makes a technical correction to use updated tree canopy information.),Vague,
32,,County Executiv,,Makes a technical correction to include more recent tree canopy data and to indicate the year for census tract income data on the legend for Maps 3-4 and 3-5,NA,
33,,County Executiv,,"Adding to implementing actions to change developmetn regulations that require site plans that allow access to buildings by transit, bycicle and other pedestrian friendly means. Working with State and regional agencies to develop such means.",Vague,Performative
34,,County Executiv,,"Adds a policy statement (CIM Policy Action 10) and related Implementing
Action that the County shall explore the opportunities to reduce the impacts of noise and air
pollution generated by air travel and shall ensure that future residential development considers
these evolving conditions",Vague,Performative
35,,County Executiv,,"Makes a technical correction to Tables 5-2 and 5-3 to include Howard County Government and Howard County Public School System employees, to indicate that Freshly has closed as of early 2023 and to list the source citation for Table 5-3.",NA,
36,,County Executiv,,"Corrects references to the Market Overview & Background Research study
which was prepared by RCLCO",NA,
37,,County Executiv,,"Makes a technical correction to the percentage of rental housing reflected in
the note following Graph 6-3.",NA,
38,,County Executiv,,"Adds a note to Maps 6-4, 6-5 and 6-6 that directs the reader to refer to Map 6-
7 to see housing types permitted within New Town",NA,
39,,County Executiv,,"Adds a statement that accessory dwelling units are accessory to the primary
residential use and should not be eligible for subdivision and further describes location-specific criteria for ADUs in an implementing action",Bad,This is part of a terrible policy based on a misguided concept that most home owners can afford to build ADUs.
40,,County Executiv,,"Adds language about the use of public-private partnerships to facilitate mixeduse activity centers with a mix of for-sale and rental housing in redevelopment projects and adds
an implementing action that such models shall be explored",Bad,"PPPs are just a way to ""create"" money and and sidestep budget constraints."
41,4,County Executiv,,"Expand funding and partnerships for the Live Where You Work program. Evaluate expanding the
program for home ownership opportunities.",Questions,Why not support more home-ownership opportunities instead of focusing on rentals?
42,,County Executiv,,Establishes a work group to look into establishing targeted incentive program for affordable and accessible housing running concurrenlty with the APFO task force.,Questions,Why concurrently with APFO? Why another task force on affordable housing instead of just taking action?
43,,County Executiv,,Corrects terminology surrounding home sharing.,NA,
44,4,County Executiv,,"Preserve mobile home parks as affordable housing opportunities when possible and continue to support their revitalization. If redevelopment occurs, the County should strive for a minimum of a one-to-one replacement of affordable units and evaluate ways to provide relocation assistance that maintains social and familial connections.",Good,This Amendment adds that townhouses and condominiums will be considered when exploring options for acquisition/ rehabilitation programs to support homeownership opportunities for moderate income households.)
45,3,County Executiv,"Chapter 6, Dynamic Neighborhoods – page 66 • Chapter 11, Implementation - page 44
","Adds that townhouses and condominiums will be considered when exploring
options for acquisition/rehabilitation programs to support homeownership opportunities for
moderate income households. In addition to older single-family homes.",Good,"(This Amendment adds a statement that the Zoning Regulations and Subdivision and Land Development Regulations shall provide flexibility regarding opportunities to locate housing for the homeless or individuals with special needs in close proximity to jobs, amenities and transportation connections.)"
46,3,County Executiv,"Chapter 6, Dynamic Neighborhoods – page 68 • Chapter 11, Implementation – page 45","Adds a statement that the Zoning Regulations and Subdivision and Land
Development Regulations shall provide flexibility regarding opportunities to locate housing for
the homeless or individuals with special needs in close proximity to jobs, amenities and
transportation connections.",Good,This Amendment adds language that reflects the challenges facing commercial properties on Route 1.)
47,2,County Executiv,,"Adds the following language to ""Quality by Design"" ""challenges filling ground
floor commercial spaces in multistory buildings and recent changes in the County's Zoning Regulations that
reduced requirements for commerical spaces in the Route 1 corridor in certain zoning districts.""",Questions,The county executive signed approved legislation that would reduce commerical space requirements.Introduces a new Implementing action: Develop criteria for zoning changes for suburban commercial character areas adjacent to redeveloping activity centers.
48,3,County Executiv,"Chapter 7, Quality By Design – page 34 • Chapter 11, Implementation – page 47",Develop criteria for zoning changes for suburban commercial character areas adjacent to redeveloping activity centers,Questions,What is the county doing differently from the previous general plan?This Amendment removes language that highlights the struggles of communities.)
49,2,County Executiv,"Chapter 9, Supporting Infrastructure – page 7",Removes language that highlights the struggles of other communities.,NA,"replaces support for HoCo CC to support ""higher education"", and removes mention of residents and workers"
50,4,County Executiv,"Chapter 9, Supporting Infrastructure – pages 32 and 33  Chapter 11,  Implementation – page 56","Continue to support and partner with organizations that play a
critical role in the health care delivery system, such as hospitals,
to ensure there is adequate capacity.",Bad,"Vague requirement that does not call for regulatory measures.This Amendment corrects typographical errors in Table 10-3, Tentative Allocations Granted Since 2010 Allocation Year.)"
51,2,County Executiv,,"Corrects typographical errors in Table 10-3, Tentative Allocations
Granted Since 2010 Allocation Year",NA,Establish a working group that evaluates and sets goals for the targeted incentive program for affordable and accessible housing and establish criteria for the Affordable Housing set aside in the APFO Allocations Chart.
52,3,County Executiv,"Chapter 10, Managing Growth – page 22 • Chapter 11, Implementation – page 59","Adds a workgroup to evaluate and set goals surrounding targeted incentive
programs for affordable and accessible housing. The workgroup will also establish criteria for
the affordable housing set aside in the APFO Allocations Char",Bad,"Kicking the can down the road and creating competeing objectives between APFO and affordable housing.This Amendment adds a sentence to indicate that the Plans listed are not an exhaustive list of all functional plans that may be used to implement HoCo By Design.)
"
53,2,County Executiv,"Chapter 11, Implementation – page 7
",Adds a sentence to indicate that the Plans listed are not an exhaustive list of all functional plans that may be used to implement HoCo By Desig,NA,"In the Route 1 Corridor, a Plan for Washington Boulevard, this Amendment substitutes a new Chart RTE 1-1, Zoning Makeup Route 1 Corridor, in order to make the percentages more legible.)
"
54,1,County Executiv,,"In the Route 1 Corridor, a Plan for Washington Boulevard, this Amendment substitutes a new
Chart RTE 1-1, Zoning Makeup Route 1 Corridor, in order to make
the percentages more legible",NA,
55,5,County Executiv,"Chapter 8, Public Schools Facilities page 7, 9, 15 and 21",Updates charts related to schools and provides certain clarifications on school data.,NA,changes related to affordable housing. What is Rigby's definition of Affordable housing? Is this the same as subsidized housing?
56,6,Christiana Rigby,Chapter 6: Quality by Design: 51 and 62 • Chapter 10: Managing Growth: 7 and 8 • Chapter 11: Implementation: 39 and 43,"Amends the DN-5 Policy Statement Implementing Actions to
have the working group study incentives for homeownership
opportunities where 50% of the units are affordable
homeownership and 50% of the units are affordable rental;

Amends the DN-11 Policy Statement Implementing Actions
to ensure Universal Design Guidelines are utilized for at
least 10% of all affordable units built.)",Bad,"The approach to discuss affordability in the context of APFO has led to drastically harmful results in communities impacted by terrible zoning and land-use decisions. School quality is not a competing objective against affordable housing."" considering shifting away from an APFO model and exploring the creation of an Exceptional Community Ordinance (ECO), which seeks to address the County’s challenges without preventing the implementation of their solutions."""
57,3,Christiana Rigby,Chapter 10: Managing Growth: 22; Chapter 11: Implementation: 59.,Policy Statement to include consideration of shifting away from APFO in favor of an Excellent Community Ordinance,Bad,Back door to the ultimate elimination of APFO.
58,4,Deb Jung,"Technical Appendix B: Character Areas: 1, 2, 42, 43, and 44.","- Moves Village Activity Centers from Areas to Transform to Areas to Strengthen;
- Amends the narrative of how Village Activity Centers should transition between uses
and how public spaces should be included between buildings;
- Removes the section titled “Lot Size and Building Placement” in its entirety; and
- Removes a reference to buildings being up to five stories tall.)",,
59,8,Deb Jung,"Technical Appendix C: Focus Areas: 5, 6, 7, 8, 9, 11, 15, 23, and 36.",Makes changes to Technical Appendix C: Focus Areas section to require future plans confrom to existing Columbia and New Town design philisophies.,Good,Grading and clearing not to be a necessity to achive mixed uses.
